date,uid,sku,price
42926,41195147,sku_three_499,499
42931,41195147,sku_three_499,499
43051,41195147,sku_four_599,599
43004,91591874,sku_two_299,299
43070,91591874,sku_four_599,599
42716,90783242,sku_two_299,299
42898,90783242,sku_one_199,199
43019,90783242,sku_five_899,899
43035,90783242,sku_four_599,599
43104,90783242,sku_one_199,199
42812,82460736,sku_four_599,599
42846,82460736,sku_three_499,499
42855,82460736,sku_one_199,199
42979,82460736,sku_four_599,599
43078,82460736,sku_three_499,499
43104,82460736,sku_four_599,599
43158,82460736,sku_two_299,299
42877,71910153,sku_two_299,299
43160,71910153,sku_eight_2099,99
42502,22870987,sku_four_599,599
43008,22870987,sku_one_199,199
43171,22870987,sku_two_299,299
43177,22870987,sku_four_599,599
43199,22870987,sku_four_599,599
42741,24040897,sku_one_199,199
42879,24040897,sku_one_199,199
42925,24040897,sku_three_499,499
42932,24040897,sku_two_299,299
42982,24040897,sku_one_199,199
42983,24040897,sku_four_599,599
43103,24040897,sku_four_599,599
43113,24040897,sku_four_599,599
43117,24040897,sku_two_299,299
42949,25494681,sku_three_499,499
42747,88736154,sku_five_899,899
42820,88736154,sku_three_499,499
43056,88736154,sku_two_299,299
43114,88736154,sku_four_599,599
43198,88736154,sku_four_599,599
42880,20028373,sku_six_1299,299
42935,20028373,sku_four_599,599
43043,20028373,sku_four_599,599
42705,61859775,sku_three_499,499
42819,61859775,sku_one_199,199
42830,61859775,sku_two_299,299
42963,61859775,sku_one_199,199
43077,61859775,sku_two_299,299
42798,85581663,sku_four_599,599
43162,85581663,sku_four_599,599
42699,94805819,sku_one_199,199
42731,94805819,sku_two_299,299
42957,94805819,sku_five_899,899
42996,94805819,sku_two_299,299
43029,94805819,sku_seven_1499,499
43210,94805819,sku_three_499,499
42741,97477450,sku_two_299,299
42795,97477450,sku_one_199,199
43001,97477450,sku_four_599,599
42502,42175154,sku_one_199,199
42514,42175154,sku_three_499,499
42515,42175154,sku_seven_1499,499
42599,42175154,sku_one_199,199
42872,42175154,sku_two_299,299
42886,42175154,sku_one_199,199
42890,42175154,sku_one_199,199
42972,42175154,sku_four_599,599
43043,42175154,sku_eight_2099,99
43133,42175154,sku_two_299,299
42986,73506150,sku_three_499,499
43128,73506150,sku_one_199,199
43142,73506150,sku_four_599,599
42579,65326997,sku_three_499,499
42595,65326997,sku_eight_2099,99
42684,65326997,sku_four_599,599
42731,65326997,sku_three_499,499
42756,65326997,sku_seven_1499,499
42900,65326997,sku_one_199,199
42903,65326997,sku_five_899,899
43023,65326997,sku_two_299,299
43078,65326997,sku_three_499,499
43110,65326997,sku_six_1299,299
43137,65326997,sku_three_499,499
43139,65326997,sku_one_199,199
43161,65326997,sku_three_499,499
43169,65326997,sku_three_499,499
42918,59336220,sku_four_599,599
43021,59336220,sku_seven_1499,499
42918,73194768,sku_four_599,599
42968,73194768,sku_two_299,299
43063,73194768,sku_four_599,599
43067,73194768,sku_four_599,599
43118,73194768,sku_eight_2099,99
42712,45588501,sku_four_599,599
43004,45588501,sku_four_599,599
43061,45588501,sku_four_599,599
43101,45588501,sku_one_199,199
43192,45588501,sku_two_299,299
42277,99750472,sku_two_299,299
42373,99750472,sku_four_599,599
42580,99750472,sku_two_299,299
42586,99750472,sku_three_499,499
42633,99750472,sku_eight_2099,99
42662,99750472,sku_one_199,199
42688,99750472,sku_one_199,199
42917,99750472,sku_four_599,599
43141,99750472,sku_three_499,499
43098,91907334,sku_three_499,499
43145,91907334,sku_two_299,299
43170,91907334,sku_four_599,599
43035,11317978,sku_three_499,499
43123,11317978,sku_one_199,199
43057,64385442,sku_four_599,599
42404,45291836,sku_four_599,599
42433,45291836,sku_four_599,599
42706,45291836,sku_seven_1499,499
42758,45291836,sku_three_499,499
42776,45291836,sku_two_299,299
43008,45291836,sku_four_599,599
43055,45291836,sku_two_299,299
43117,45291836,sku_one_199,199
43156,45291836,sku_one_199,199
43015,68561600,sku_three_499,499
43045,68561600,sku_eight_2099,99
43194,68561600,sku_seven_1499,499
42751,80470829,sku_four_599,599
42916,80470829,sku_two_299,299
42968,80470829,sku_two_299,299
43019,80470829,sku_five_899,899
42980,28815740,sku_one_199,199
42990,28815740,sku_two_299,299
43096,28815740,sku_four_599,599
43117,28815740,sku_two_299,299
43184,28815740,sku_four_599,599
43189,28815740,sku_eight_2099,99
43206,28815740,sku_two_299,299
42722,81375196,sku_three_499,499
42784,81375196,sku_four_599,599
42861,81375196,sku_one_199,199
42866,81375196,sku_three_499,499
42898,81375196,sku_two_299,299
43008,81375196,sku_three_499,499
43021,81375196,sku_three_499,499
43101,81375196,sku_four_599,599
43154,81375196,sku_three_499,499
43173,81375196,sku_one_199,199
42957,77965862,sku_one_199,199
43146,77965862,sku_three_499,499
43176,77965862,sku_four_599,599
43180,77965862,sku_one_199,199
43198,77965862,sku_three_499,499
42893,55317289,sku_two_299,299
42911,55317289,sku_two_299,299
43045,55317289,sku_one_199,199
43062,55317289,sku_three_499,499
42459,94055095,sku_four_599,599
42549,94055095,sku_one_199,199
42559,94055095,sku_two_299,299
42623,94055095,sku_three_499,499
42781,94055095,sku_one_199,199
42830,94055095,sku_one_199,199
42931,94055095,sku_one_199,199
43095,94055095,sku_four_599,599
43117,94055095,sku_two_299,299
42588,88221628,sku_six_1299,299
42591,88221628,sku_three_499,499
42606,88221628,sku_two_299,299
42877,88221628,sku_eight_2099,99
43001,88221628,sku_two_299,299
43099,88221628,sku_seven_1499,499
42991,31430489,sku_one_199,199
43153,31430489,sku_two_299,299
43169,31430489,sku_three_499,499
43178,31430489,sku_five_899,899
42305,69627745,sku_one_199,199
42325,69627745,sku_one_199,199
42330,69627745,sku_four_599,599
42444,69627745,sku_three_499,499
42446,69627745,sku_eight_2099,99
42549,69627745,sku_eight_2099,99
42881,69627745,sku_two_299,299
42904,69627745,sku_one_199,199
42937,69627745,sku_four_599,599
42941,69627745,sku_three_499,499
43022,69627745,sku_one_199,199
43028,69627745,sku_three_499,499
43099,69627745,sku_one_199,199
43189,55123312,sku_two_299,299
42718,70272555,sku_five_899,899
42885,70272555,sku_one_199,199
42898,70272555,sku_one_199,199
43111,70272555,sku_two_299,299
43095,17706865,sku_four_599,599
43188,17706865,sku_five_899,899
43054,97665653,sku_one_199,199
42817,22238074,sku_four_599,599
42943,22238074,sku_four_599,599
42735,80938684,sku_three_499,499
42821,80938684,sku_three_499,499
42849,80938684,sku_two_299,299
42880,80938684,sku_two_299,299
42902,80938684,sku_six_1299,299
43104,80938684,sku_three_499,499
42605,40161615,sku_four_599,599
42630,40161615,sku_two_299,299
42657,40161615,sku_one_199,199
42793,40161615,sku_two_299,299
42912,40161615,sku_five_899,899
43030,40161615,sku_three_499,499
43162,40161615,sku_one_199,199
42963,84852701,sku_one_199,199
42973,84852701,sku_three_499,499
43015,84852701,sku_one_199,199
42562,35008108,sku_three_499,499
42708,35008108,sku_five_899,899
42804,35008108,sku_eight_2099,99
42878,35008108,sku_two_299,299
43007,35008108,sku_two_299,299
43208,35008108,sku_two_299,299
42959,83789648,sku_eight_2099,99
42220,68568102,sku_six_1299,299
42462,68568102,sku_one_199,199
42529,68568102,sku_two_299,299
42537,68568102,sku_three_499,499
42580,68568102,sku_two_299,299
42817,68568102,sku_five_899,899
43079,68568102,sku_six_1299,299
43083,68568102,sku_four_599,599
43165,68568102,sku_five_899,899
43184,68568102,sku_one_199,199
42471,88263172,sku_five_899,899
42545,88263172,sku_one_199,199
42655,88263172,sku_one_199,199
42730,88263172,sku_two_299,299
42847,88263172,sku_three_499,499
43093,88263172,sku_five_899,899
42662,25218349,sku_seven_1499,499
42675,25218349,sku_four_599,599
42736,25218349,sku_one_199,199
43140,25218349,sku_four_599,599
43202,25218349,sku_one_199,199
42431,99381970,sku_three_499,499
42516,99381970,sku_one_199,199
42583,99381970,sku_three_499,499
42624,99381970,sku_three_499,499
42748,99381970,sku_two_299,299
42800,99381970,sku_two_299,299
42880,99381970,sku_two_299,299
42923,99381970,sku_four_599,599
43018,99381970,sku_three_499,499
43174,99381970,sku_three_499,499
42622,33097171,sku_one_199,199
42702,33097171,sku_one_199,199
42727,33097171,sku_one_199,199
42893,33097171,sku_three_499,499
42904,33097171,sku_two_299,299
42946,33097171,sku_one_199,199
42858,84847578,sku_five_899,899
42865,84847578,sku_four_599,599
42945,84847578,sku_two_299,299
43008,84847578,sku_one_199,199
43141,57346032,sku_three_499,499
43192,50706116,sku_eight_2099,99
42669,88114512,sku_three_499,499
42690,88114512,sku_two_299,299
42849,88114512,sku_three_499,499
42901,88114512,sku_two_299,299
42934,88114512,sku_two_299,299
42951,88114512,sku_two_299,299
43058,88114512,sku_one_199,199
43178,88114512,sku_two_299,299
43182,88114512,sku_six_1299,299
42869,67779187,sku_one_199,199
42909,67779187,sku_three_499,499
42916,67779187,sku_three_499,499
43130,67779187,sku_four_599,599
43209,67779187,sku_two_299,299
42642,66357262,sku_four_599,599
42833,66357262,sku_eight_2099,99
42975,66357262,sku_four_599,599
43025,66357262,sku_three_499,499
43143,66357262,sku_five_899,899
42766,96523745,sku_five_899,899
42808,96523745,sku_six_1299,299
42812,96523745,sku_four_599,599
42869,96523745,sku_five_899,899
42931,96523745,sku_two_299,299
42948,96523745,sku_three_499,499
42956,96523745,sku_four_599,599
43041,96523745,sku_six_1299,299
43090,96523745,sku_one_199,199
43062,78578516,sku_four_599,599
43147,78578516,sku_four_599,599
43171,78578516,sku_seven_1499,499
42671,48200251,sku_four_599,599
42747,48200251,sku_three_499,499
42925,48200251,sku_one_199,199
43023,48200251,sku_six_1299,299
43050,48200251,sku_three_499,499
43171,48200251,sku_two_299,299
43197,48200251,sku_three_499,499
43200,48200251,sku_three_499,499
42582,93860850,sku_one_199,199
42989,93860850,sku_four_599,599
43137,93860850,sku_one_199,199
42989,58092686,sku_four_599,599
