uid,reg_date,device,gender,country,age
54030035,42914.70833,and,M,USA,19
72574201,43163.66667,iOS,F,TUR,22
64187558,42406.66667,iOS,M,USA,16
92513925,42879.70833,and,M,BRA,41
99231338,42819.70833,iOS,M,FRA,59
64229733,42871.70833,and,F,USA,17
16377492,42658.70833,and,M,BRA,20
36350096,42831.70833,and,M,USA,23
98955454,42592.70833,and,M,USA,22
40461463,42931.70833,and,M,BRA,32
99094125,42410.66667,iOS,M,USA,16
60943517,43165.66667,and,M,USA,22
13373345,42985.70833,and,M,USA,19
89447705,43044.66667,and,F,USA,20
74263197,42907.70833,and,F,BRA,24
58375061,42546.70833,iOS,M,USA,25
61798397,42732.66667,and,F,USA,23
73480791,42966.70833,iOS,M,BRA,45
50777128,42956.70833,iOS,F,DEU,30
89464221,43123.66667,iOS,F,USA,21
53378171,43070.66667,iOS,M,USA,23
75142313,42884.70833,iOS,F,USA,83
72086031,42821.70833,iOS,F,USA,52
96565337,43115.66667,and,M,DEU,20
36476360,43128.66667,iOS,M,FRA,19
20819344,43047.66667,and,M,BRA,33
16113980,42902.70833,and,F,CAN,17
12223114,42923.70833,and,F,BRA,16
89173956,42517.70833,and,F,DEU,25
66770349,43147.66667,and,F,USA,16
24708291,42396.66667,and,F,TUR,37
66835609,43166.66667,and,M,BRA,19
25358483,42466.70833,and,M,USA,64
61509814,42964.70833,iOS,F,USA,22
18720551,42920.70833,iOS,M,DEU,24
87711484,43118.66667,iOS,M,USA,19
43052026,42673.70833,iOS,M,DEU,35
53111877,42780.66667,iOS,M,USA,16
30657860,42640.70833,and,M,USA,22
79481427,42431.66667,and,M,TUR,17
30363170,42623.70833,iOS,F,TUR,20
74247839,42828.70833,and,F,USA,19
38628362,43166.66667,and,F,USA,15
15487475,43057.66667,iOS,F,CAN,17
25033821,42600.70833,iOS,F,USA,21
90562190,42981.70833,iOS,M,TUR,16
35580487,43006.70833,and,F,USA,24
72243472,42218.70833,iOS,F,USA,15
11309555,42050.66667,and,F,USA,24
39486145,43064.66667,iOS,M,USA,20
48325633,43058.66667,iOS,M,USA,24
18035072,43003.70833,and,M,BRA,23
67732177,42973.70833,and,M,USA,17
23360771,43119.66667,and,M,BRA,51
62526257,42810.70833,iOS,M,USA,37
85426418,43156.66667,and,F,TUR,19
59666846,43091.66667,and,F,BRA,23
77010199,43134.66667,and,F,CAN,30
67440775,43132.66667,and,M,BRA,53
51271176,43113.66667,and,F,USA,30
76661000,43025.70833,iOS,M,DEU,31
45670233,43010.70833,and,F,CAN,23
76906161,43046.66667,and,F,TUR,26
65194975,43081.66667,and,F,CAN,25
26829700,42603.70833,and,M,USA,17
49518970,42159.70833,and,M,USA,21
90279488,43144.66667,and,F,CAN,26
98435331,42934.70833,iOS,M,BRA,21
44131918,42240.70833,iOS,F,USA,25
84379156,42827.70833,and,F,DEU,25
69978208,42807.70833,iOS,M,USA,16
21353457,42592.70833,iOS,M,BRA,27
66807153,42497.70833,iOS,M,USA,24
76040729,42458.70833,iOS,F,USA,15
13017133,42925.70833,iOS,F,CAN,15
93400428,42938.70833,and,M,BRA,18
29834438,43069.66667,iOS,F,TUR,29
56024697,43175.70833,and,M,BRA,16
11300465,42387.66667,iOS,M,FRA,21
26000101,42818.70833,and,F,TUR,19
70069860,43087.66667,and,F,BRA,17
